STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,VE_TOTAL,PERSONS,PEDS,NHS,ROAD_FNC,ROUTE,SP_JUR,HARM_EV,MAN_COLL,REL_JUNC,REL_ROAD,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,HIT_RUN,LGT_COND,WEATHER1,WEATHER2,C_M_ZONE,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,CITY,MILEPT,YEAR,TWAY_ID,TWAY_ID2,RAIL,LATITUDE,LONGITUD,VE_FORMS,WEATHER
1,31,1,14,23,40,1,1,0,0,3,3,0,42,0,1,4,1,2,55,2,2,2,1,0,0,0,2,1,0,0,23,59,0,10,99,99,0,0,0,0,1,1,0,10024,0,69,2007,SR-125,0,0,31302434,85593865,1,1
1,81,1,14,21,10,1,2,0,1,2,2,0,24,0,1,2,2,2,65,2,2,2,1,0,0,0,2,1,0,0,21,16,21,26,99,99,0,0,0,0,1,1,1,10025,0,988,2007,US-SR38,0,0,32420697,85313370,1,1
1,69,1,15,8,15,3,4,0,0,4,4,0,12,5,2,1,1,2,45,1,1,2,1,0,0,0,1,1,0,0,8,23,8,42,99,99,0,14,0,0,1,2,0,10026,802,0,2007,1246,57,0,31121454,85185784,3,1
1,127,1,15,12,25,2,3,0,0,4,3,0,12,2,1,1,1,2,55,1,1,2,2,0,0,0,1,2,0,0,12,27,12,45,99,99,0,0,0,0,1,2,0,10027,0,221,2007,SR-269,0,0,33371573,87090809,2,2
1,21,1,5,6,0,1,1,0,1,1,1,0,24,0,1,2,2,3,70,1,1,2,2,0,0,0,2,2,0,0,99,99,6,23,0,0,0,0,0,0,1,6,0,10028,0,2068,2007,I-65,1E+20,0,32522499,86364973,1,2
1,113,1,16,20,20,2,2,0,1,2,2,0,12,5,2,1,2,2,55,1,1,2,1,20,3,0,2,1,0,0,20,24,20,29,0,0,0,0,0,0,1,3,0,10029,0,1044,2007,US-SR1,8225,0,32220638,85053617,2,1
1,97,1,17,5,25,2,5,0,1,2,2,0,12,5,4,1,2,2,50,1,1,2,1,0,0,0,2,1,0,0,5,35,5,45,99,99,0,0,0,0,1,4,0,10030,0,159,2007,US-SR13,0,0,30552212,88015459,2,1
1,103,1,17,7,0,1,1,0,0,4,4,0,43,0,8,4,1,2,45,1,2,2,1,0,0,0,1,1,0,0,7,5,7,12,0,0,0,0,0,0,1,4,0,10031,0,0,2007,1179,0,0,34292839,86534489,1,1
1,43,1,5,20,5,2,2,0,0,4,2,0,12,4,1,1,3,2,55,1,3,2,1,0,0,0,2,1,0,0,99,99,20,15,99,99,0,0,0,0,1,6,1,10032,0,3358,2007,US-SR3,1E+20,0,34182954,86535757,2,1
1,11,1,6,14,0,1,1,0,0,5,4,0,42,0,1,5,1,2,45,1,1,2,1,0,0,0,1,1,0,0,99,99,99,99,0,0,0,0,0,0,1,7,0,10033,0,0,2007,1233,1E+20,0,32054912,85304051,1,1
1,41,1,6,22,38,1,1,0,0,4,4,0,34,0,1,4,1,2,45,2,2,2,1,0,0,0,2,1,0,0,99,99,22,48,99,99,0,0,0,0,1,7,0,10034,0,0,2007,1100,1E+20,0,31390992,86254769,1,1
1,63,1,26,23,45,1,3,0,1,1,1,0,34,0,1,3,2,4,70,1,1,2,1,0,0,0,2,1,0,1,23,45,0,8,99,99,0,0,0,0,1,6,1,10035,0,499,2007,I-20,0,0,32575879,87484559,1,1
1,113,1,26,19,17,2,4,0,1,2,2,0,12,5,2,1,2,2,60,1,2,2,1,20,3,0,2,1,0,0,19,19,19,29,99,99,0,0,0,0,1,6,0,10036,0,985,2007,US-SR1,7971,0,32193060,85092834,2,1
1,103,1,26,11,30,2,2,0,0,2,3,0,12,2,1,1,1,2,55,1,1,2,1,0,0,0,1,1,0,0,11,35,11,45,0,0,0,0,0,0,1,6,0,10037,0,206,2007,SR-67,0,0,34251829,86425271,2,1
1,97,1,6,2,30,1,3,0,1,11,1,0,35,0,1,5,2,3,70,2,2,2,1,0,0,0,2,1,0,0,99,99,2,45,99,99,0,0,0,0,1,7,0,10038,0,179,2007,I-10,1E+20,0,30360438,88090400,1,1
1,57,1,27,10,25,1,1,0,0,4,3,0,42,0,1,5,1,2,55,1,1,2,1,0,0,0,1,1,0,0,10,30,10,50,0,0,0,0,0,0,1,7,0,10039,0,152,2007,SR-102,0,0,33480714,87340247,1,1
1,71,1,28,23,10,1,1,0,1,2,3,0,34,0,1,4,1,2,55,2,2,2,1,0,0,0,2,1,0,0,23,18,23,25,0,0,0,0,0,0,1,1,0,10040,0,445,2007,SR-35,0,0,34370326,85590260,1,1
1,103,1,31,13,0,1,1,0,0,4,4,0,32,0,1,2,1,2,45,2,2,2,1,0,0,0,1,1,0,0,13,7,13,13,99,99,0,0,0,0,1,4,0,10041,0,0,2007,1097,0,0,34280343,86585739,1,1
1,79,1,18,23,30,1,2,0,0,5,4,0,42,0,1,5,1,2,45,1,2,2,1,28,3,0,2,1,0,0,99,99,23,50,99,99,0,0,0,0,1,5,1,10042,0,0,2007,1150,1E+20,0,34373736,87204328,1,1
1,51,1,19,22,43,1,1,0,0,5,4,0,42,0,1,5,1,2,45,2,1,2,1,28,3,0,2,1,0,0,99,99,23,5,0,0,0,0,0,0,1,6,1,10043,0,0,2007,1129,1E+20,0,32291905,86033095,1,1
1,51,1,20,17,35,1,4,1,0,5,4,0,8,0,1,1,1,2,45,1,1,2,1,28,3,0,2,1,0,0,99,99,17,45,99,99,0,0,0,0,1,7,0,10044,0,0,2007,1209,1E+20,0,32360579,86122602,1,1
1,97,1,20,20,20,1,5,0,0,14,4,0,35,0,1,5,1,2,45,2,2,2,1,28,3,0,2,1,0,0,99,99,20,30,99,99,0,0,0,0,1,7,1,10045,0,0,2007,1352,1E+20,0,30424045,88155514,1,1
1,103,2,1,17,50,1,2,0,1,2,3,0,34,0,1,4,2,2,50,1,2,2,2,0,0,0,2,5,0,0,17,55,18,10,99,99,0,0,0,0,1,5,1,10046,0,664,2007,SR-20,0,0,34370937,87011691,1,5
1,125,1,29,11,50,3,3,0,1,1,2,0,12,5,11,1,1,2,45,1,2,2,1,20,3,0,1,1,0,0,11,55,12,5,99,99,0,0,0,0,1,2,0,10047,0,1093,2007,US-SR7,I-59,0,33150364,87080222,3,1
1,125,1,21,7,45,1,1,0,0,3,3,0,34,0,1,4,1,2,55,1,2,2,2,28,3,0,1,2,0,0,99,99,8,4,99,99,0,0,0,0,1,1,0,10048,0,57,2007,sr-171,1E+20,0,33184257,87381373,1,2
1,29,1,24,5,55,1,2,0,1,1,1,0,34,0,1,3,2,3,70,1,1,2,1,0,0,0,2,1,0,0,99,99,6,15,99,99,0,0,0,0,1,4,0,10049,0,1984,2007,I-20,1E+20,0,33371350,85375753,1,1
1,49,1,24,17,15,1,5,0,0,6,4,0,35,0,1,4,1,2,35,2,2,5,1,0,0,0,2,1,0,0,99,99,17,34,99,99,0,0,0,0,1,4,0,10050,0,0,2007,610,1E+20,0,34322028,85414945,1,1
1,127,2,1,2,15,1,1,0,0,4,3,0,34,0,1,4,1,2,55,1,1,2,2,0,0,0,2,2,0,0,99,99,2,49,0,0,0,0,0,0,1,5,0,10051,0,90,2007,SR-195,0,0,33575152,87202808,1,2
1,127,2,1,7,25,1,1,0,0,4,3,0,34,0,1,4,1,2,55,2,2,2,2,0,0,0,1,2,0,0,7,36,7,52,0,0,0,0,0,0,1,5,0,10052,0,334,2007,SR-269,0,0,33424764,87155466,1,2
1,3,1,24,15,45,2,2,0,0,4,4,0,12,4,2,1,1,2,55,1,1,2,1,20,3,0,1,1,0,0,99,99,16,5,99,99,0,0,0,0,1,4,0,10053,0,0,2007,1092,7527,0,30272857,87443257,2,1
1,125,1,25,15,25,1,1,0,0,4,4,0,42,0,1,5,1,2,45,1,2,2,1,0,0,0,1,1,0,0,99,99,16,1,0,0,0,0,0,0,1,5,0,10054,0,0,2007,1156,1E+20,0,33074417,87471744,1,1
1,115,2,10,6,30,2,2,0,1,1,1,0,12,1,1,1,2,3,70,1,1,2,1,0,0,0,1,1,0,0,99,99,6,35,0,0,0,0,0,0,1,7,0,10055,0,1664,2007,I-59,1E+20,0,33533936,86144405,2,1
1,75,2,10,12,20,2,2,0,0,3,3,0,12,2,1,1,1,2,55,1,1,2,1,28,3,0,1,1,0,0,99,99,12,36,0,0,0,0,0,0,2,7,0,10056,0,50,2007,sr-18,1E+20,0,33442484,88114470,2,1
1,51,2,11,18,9,2,4,0,0,3,3,0,12,2,2,1,1,2,45,1,1,2,1,0,0,0,3,1,0,0,99,99,18,14,99,99,0,0,0,0,1,1,0,10057,2063,99999,2007,sr-143,13,0,32302734,86222606,2,1
1,125,2,15,11,8,1,1,0,0,5,4,0,42,0,1,5,1,2,35,2,2,2,1,28,3,0,1,1,0,0,99,99,99,99,0,0,0,0,0,0,1,5,0,10058,0,0,2007,1352,1E+20,0,33215062,87394184,1,1
1,101,2,16,18,0,2,3,0,1,2,2,0,12,4,1,1,1,2,65,1,1,2,1,0,0,0,2,1,0,0,99,99,18,5,99,99,0,0,0,0,2,6,0,10059,0,1657,2007,US-SR6,1E+20,0,32141125,86073607,2,1
1,63,2,16,8,20,1,2,0,1,1,1,0,1,0,1,5,2,3,70,1,1,2,1,0,0,0,1,1,0,0,99,99,8,42,99,99,0,0,0,0,1,6,1,10060,0,444,2007,I-20,1E+20,0,32543520,87523454,1,1
1,73,1,4,5,45,3,3,0,1,2,3,0,24,0,1,2,1,2,55,1,2,2,1,0,0,0,2,1,0,0,99,99,6,9,99,99,0,0,0,0,1,5,0,10061,0,139,2007,SR-269,1E+20,0,33312180,87033974,3,1
1,71,1,11,7,51,2,4,0,1,2,2,0,12,1,1,1,1,2,65,1,1,2,1,0,0,0,1,1,0,0,99,99,7,56,99,99,0,0,0,0,1,5,0,10062,0,1149,2007,US-SR2,1E+20,0,34412750,86211112,2,1
1,43,1,31,0,20,1,2,0,0,4,3,0,42,0,1,4,1,2,55,2,2,2,1,28,3,0,2,1,0,0,99,99,9,59,99,99,0,0,0,0,1,4,1,10063,0,105,2007,SR-91,1E+20,0,33551401,86555991,1,1
